folio,zip,addr,muni,dorCode,dorDesc,cls,homestead,taxable,assessedVal,justVal,exemption,rollYear,valid
0142070000010,33149,,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,27450,27450,27450,2026,true
0142080000010,33149,3305 RICKENBACKER CSWY,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,250000,250000,250000,2026,true
0142080000030,33149,3315 RICKENBACKER CSWY,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,10000,10000,10000,2026,true
0142090000010,33149,3691 RICKENBACKER CSWY,Miami,8066,VACANT GOVERNMENTAL : EXTRA FEA OTHER THAN PARKING,Government,0,0,305150,305150,305150,2026,true
0142090000030,33149,3685 RICKENBACKER CSWY,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,614496,614496,614496,2026,true
0142100000070,33149,,Miami,7081,VACANT LAND - INSTITUTIONAL : VACANT LAND,Institutional,0,860,860,860,0,2026,true
0142160000010,33149,3989 RICKENBACKER CSWY,Miami,8647,COUNTY : DADE COUNTY,Government,0,0,38764750,38764750,38764750,2026,true
0142160000011,33149,3801 RICKENBACKER CSWY,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,985440,985440,985440,2026,true
0142160000020,33149,,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,12130,12130,12130,2026,true
0142160000040,33149,,Miami,7081,VACANT LAND - INSTITUTIONAL : VACANT LAND,Institutional,0,0,1580566,7404500,1580566,2026,true
0142160000050,33149,3851 RICKENBACKER CSWY,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,3413600,3413600,3413600,2026,true
0142160000060,33149,3861 RICKENBACKER CSWY,Miami,8047,VACANT GOVERNMENTAL : DADE COUNTY,Government,0,0,884880,884880,884880,2026,true
0142160000070,33149,3965 RICKENBACKER CSWY,Miami,9081,LEASEHOLD INTEREST : VACANT LAND,Other,0,0,287496,287496,287496,2026,true
0142160000080,33149,,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,6000,6000,6000,2026,true
0142170000010,33149,3501 RICKENBACKER CSWY,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,281816,281816,281816,2026,true
0142170000012,33149,3505 RICKENBACKER CSWY,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,114121,2000000,114121,2026,true
0142170000013,33149,,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,16119,16119,16119,2026,true
0142170000020,33149,3301 RICKENBACKER CSWY,Miami,9019,LEASEHOLD INTEREST : AUTOMOTIVE OR MARINE,Other,0,4280218,4280218,19865000,0,2026,true
0142170000022,33149,,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,316632,1387250,316632,2026,true
0142170000030,33149,3501 RICKENBACKER CSWY,Miami,8940,MUNICIPAL : MUNICIPAL,Government,0,0,6228724,13236635,6228724,2026,true
0142170000031,33149,3601 RICKENBACKER CSWY,Miami,3515,TOURIST ATTRACTION/EXHIBIT : ENTERTAINMENT,Commercial,0,0,2121980,2261914,2121980,2026,true
0142170000110,33149,3501 RICKENBACKER CSWY,Miami,8940,MUNICIPAL : MUNICIPAL,Government,0,0,8810038,44781310,8810038,2026,true
0142179010001,33149,,Miami,0000,REFERENCE FOLIO,Reference Folio,0,0,0,0,0,2026,true
0142179020001,33149,,Miami,0000,REFERENCE FOLIO,Reference Folio,0,0,0,0,0,2026,true
0142180000010,33149,3605 RICKENBACKER CSWY,Miami,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,Government,0,0,1005900,1005900,1005900,2026,true
0142180000011,33149,3201 RICKENBACKER CSWY,Miami,9080,LEASEHOLD INTEREST : VACANT LAND - GOVERNMENTAL,Other,0,6282650,6282650,7799676,0,2026,true
0142180000020,33149,3201 RICKENBACKER CSWY,Miami,2117,RESTAURANT OR CAFETERIA : COMMERCIAL - TOTAL VALUE,Commercial,0,6359954,6359954,11000000,0,2026,true
0142180000030,33149,3301 RICKENBACKER CSWY,Miami,9017,LEASEHOLD INTEREST : COMMERCIAL - TOTAL VALUE,Other,0,1209013,1209013,3550000,0,2026,true
0142180000031,33149,3307 RICKENBACKER CSWY,Miami,9019,LEASEHOLD INTEREST : AUTOMOTIVE OR MARINE,Other,0,249433,249433,320000,0,2026,true
0142180000040,33149,3307 RICKENBACKER CSWY,Miami,2017,AIRPORT/TERMINAL OR MARINA : COMMERCIAL - TOTAL VALUE,Commercial,0,525672,525672,642392,0,2026,true
