OBJECTID,FOLIO,TRUE_SITE_ADDR,TRUE_SITE_CITY,TRUE_SITE_ZIP_CODE,DOR_CODE_CUR,DOR_DESC,CONDO_FLAG,PARENT_FOLIO,PRIMARY_ZONE,BEDROOM_COUNT,YEAR_BUILT,LOT_SIZE,BUILDING_HEATED_AREA,UNIT_COUNT,ASSESSMENT_YEAR_CUR,zip
66986,0142070000010,,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,8000,0,0,2391444,0,0,2026,33149
66992,0142080000010,3305 RICKENBACKER CSWY,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,8000,0,0,21780000,0,0,2026,33149
66994,0142080000030,3315 RICKENBACKER CSWY,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,9101,0,0,93685,0,0,2026,33149
66995,0142090000010,3691 RICKENBACKER CSWY,Miami,33149-0000,8066,VACANT GOVERNMENTAL : EXTRA FEA OTHER THAN PARKING,N,,8000,0,0,25322299.2,0,0,2026,33149
66998,0142090000030,3685 RICKENBACKER CSWY,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,9101,0,0,11153102.4,0,0,2026,33149
66999,0142100000070,,Miami,33149-0000,7081,VACANT LAND - INSTITUTIONAL : VACANT LAND,N,,8000,0,0,74923.2,0,0,2026,33149
67001,0142160000010,3989 RICKENBACKER CSWY,Miami,33149-0000,8647,COUNTY : DADE COUNTY,N,,8000,0,2000,5100876,64158,0,2026,33149
67002,0142160000011,3801 RICKENBACKER CSWY,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,9101,0,0,3577147.2,0,0,2026,33149
67003,0142160000020,,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,8000,0,0,1056765.6,0,0,2026,33149
67005,0142160000040,,Miami,33149-0000,7081,VACANT LAND - INSTITUTIONAL : VACANT LAND,N,,8002,0,0,6450800.4,0,0,2026,33149
67006,0142160000050,3851 RICKENBACKER CSWY,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,9101,0,0,3717410.4,0,0,2026,33149
67007,0142160000060,3861 RICKENBACKER CSWY,Miami,33149-0000,8047,VACANT GOVERNMENTAL : DADE COUNTY,N,,8002,0,0,3212114.4,0,0,2026,33149
67008,0142160000070,3965 RICKENBACKER CSWY,Miami,33149-0000,9081,LEASEHOLD INTEREST : VACANT LAND,N,,8002,0,0,95832,0,0,2026,33149
67009,0142160000080,,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,9101,0,0,21780,0,0,2026,33149
67010,0142170000010,3501 RICKENBACKER CSWY,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,9101,0,0,281816,0,0,2026,33149
67011,0142170000012,3505 RICKENBACKER CSWY,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,8002,0,0,40000,0,0,2026,33149
67012,0142170000013,,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,8002,0,0,16119,0,0,2026,33149
67013,0142170000020,3301 RICKENBACKER CSWY,Miami,33149-0000,9019,LEASEHOLD INTEREST : AUTOMOTIVE OR MARINE,N,,8002,0,0,818218,0,0,2026,33149
67014,0142170000022,,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,8002,0,0,27745,0,0,2026,33149
67015,0142170000030,3501 RICKENBACKER CSWY,Miami,33149-0000,8940,MUNICIPAL : MUNICIPAL,N,,8002,0,2016,348480,9768,0,2026,33149
67016,0142170000031,3601 RICKENBACKER CSWY,Miami,33149-0000,3515,TOURIST ATTRACTION/EXHIBIT : ENTERTAINMENT,N,,8002,0,1983,32670,9823,0,2026,33149
67017,0142170000110,3501 RICKENBACKER CSWY,Miami,33149-0000,8940,MUNICIPAL : MUNICIPAL,N,,8002,0,1900,892457,2837,0,2026,33149
67018,0142179010001,,Miami,33149-0000,0000,REFERENCE FOLIO,N,,0000,0,0,0,0,0,2026,33149
67019,0142179020001,,Miami,33149-0000,0000,REFERENCE FOLIO,N,,0000,0,0,0,0,0,2026,33149
67020,0142180000010,3605 RICKENBACKER CSWY,Miami,33149-0000,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,N,,8002,0,0,1,0,0,2026,33149
67021,0142180000011,3201 RICKENBACKER CSWY,Miami,33149-0000,9080,LEASEHOLD INTEREST : VACANT LAND - GOVERNMENTAL,N,,8002,0,0,254068.12,0,0,2026,33149
67022,0142180000020,3201 RICKENBACKER CSWY,Miami,33149-0000,2117,RESTAURANT OR CAFETERIA : COMMERCIAL - TOTAL VALUE,N,,8002,0,1984,0,27858,0,2026,33149
67023,0142180000030,3301 RICKENBACKER CSWY,Miami,33149-0000,9017,LEASEHOLD INTEREST : COMMERCIAL - TOTAL VALUE,N,,8002,0,1985,0,17883,0,2026,33149
67024,0142180000031,3307 RICKENBACKER CSWY,Miami,33149-0000,9019,LEASEHOLD INTEREST : AUTOMOTIVE OR MARINE,N,,8002,0,0,6400,0,0,2026,33149
